,time,min,avg,max,norm_factor
0,1717751924.5923576,0.099,0.801,1.082,0.92643
1,1717752119.905083,0.235,0.8303,1.076,1.0271299999999999
2,1717752315.2496908,0.044,0.6728,1.054,1.02873
3,1717752510.5779688,0.245,0.836,1.085,1.03393
4,1717752705.9066043,0.037,0.6784,1.054,1.03473
5,1717753501.2418373,0.225,0.8291,1.089,1.0335299999999998
6,1717753672.4217334,0.046,0.6744,1.06,1.04313
7,1717753868.632579,0.22,0.8299,1.099,1.0419299999999998
8,1717754040.8143919,0.187,0.8275,1.073,1.04643
9,1717754238.53691,0.179,0.8295,1.075,1.0496299999999998
10,1717755035.7894812,0.218,0.836,1.113,1.05243
11,1717755208.4210787,0.232,0.8436,1.115,1.05683
12,1717755405.9602745,0.213,0.844,1.119,1.0560299999999998
13,1717755603.3128877,0.21,0.842,1.113,1.05683
14,1717755775.9824,0.214,0.8468,1.119,1.05683
15,1717756573.1165028,0.212,0.85,1.12,1.0620299999999998
16,1717756770.2571821,0.228,0.8625,1.129,1.06893
17,1717756943.1193707,0.221,0.8637,1.129,1.0697299999999998
18,1717757140.6625345,0.227,0.8629,1.131,1.0721299999999998
19,1717757338.438015,0.231,0.8601,1.126,1.0697299999999998
20,1717758110.9411955,0.147,0.8726,1.131,1.06893
21,1717758308.7520993,0.141,0.8794,1.133,1.07533
22,1717758506.0143418,0.14,0.8814,1.133,1.0737299999999999
23,1717758703.6380968,0.133,0.8874,1.135,1.07653
24,1717758900.9606085,0.12,0.883,1.131,1.0777299999999999
25,1717759700.1186361,0.112,0.8517,1.124,1.07853
26,1717759897.7265453,0.113,0.8368,1.115,1.0797299999999999
27,1717760070.5904055,0.112,0.834,1.115,1.07893
28,1717760267.4306574,0.116,0.8243,1.099,1.0797299999999999
29,1717760464.3012328,0.112,0.8203,1.107,1.07853
30,1717761261.1319687,0.106,0.8312,1.101,1.08333
31,1717761458.2307568,0.105,0.8392,1.103,1.08453
32,1717761655.6160345,0.105,0.8312,1.096,1.08663
33,1717761851.2778065,0.107,0.8098,1.095,1.08453
34,1717762047.4471292,0.108,0.8086,1.089,1.0841299999999998
