,time,x,z
0,1707469139.2847939,0.0,-250.0
1,1707469150.337213,-10.0,0.0
2,1707469183.4446294,0.0,100.0
3,1707469239.6029954,0.0,-50.0
4,1707469250.6547585,10.0,0.0
5,1707469283.7675097,0.0,100.0
6,1707469373.0711722,0.0,-200.0
7,1707469384.1357772,-10.0,0.0
8,1707469417.2519803,0.0,100.0
9,1707469473.4014134,0.0,-50.0
10,1707469484.455684,10.0,0.0
11,1707469506.5286922,0.0,50.0
12,1707469562.6611216,0.0,-50.0
13,1707469573.7295933,10.0,0.0
14,1707469595.812042,0.0,50.0
15,1707469674.0756788,0.0,-150.0
16,1707469685.135065,-10.0,0.0
17,1707469729.298688,0.0,150.0
18,1707469818.589719,0.0,-200.0
19,1707469829.648439,-10.0,0.0
20,1707469862.772051,0.0,100.0
21,1707469918.9141867,0.0,-50.0
22,1707469929.9575446,10.0,0.0
23,1707469952.0359476,0.0,50.0
24,1707470030.3166957,0.0,-150.0
25,1707470041.384862,10.0,0.0
26,1707470074.5221024,0.0,100.0
27,1707470119.6219325,0.0,0.0
28,1707470130.6772723,10.0,0.0
29,1707470152.7499893,0.0,50.0
30,1707470242.032931,0.0,-200.0
31,1707470253.093804,-10.0,0.0
32,1707470297.2767715,0.0,150.0
33,1707470386.5401063,0.0,-200.0
34,1707470397.602876,-10.0,0.0
35,1707470441.771041,0.0,150.0
36,1707470531.0321302,0.0,-200.0
37,1707470542.0791373,-10.0,0.0
38,1707470586.2700686,0.0,150.0
39,1707470675.588038,0.0,-200.0
40,1707470686.6405542,-10.0,0.0
41,1707470730.8077655,0.0,150.0
42,1707470820.0976977,0.0,-200.0
43,1707470831.1556897,-10.0,0.0
44,1707470875.3190005,0.0,150.0
45,1707470964.596809,0.0,-200.0
46,1707470975.6532743,-10.0,0.0
47,1707470986.6819932,0.0,0.0
48,1707471042.809046,0.0,-50.0
49,1707471053.868567,10.0,0.0
50,1707471098.047979,0.0,150.0
51,1707471154.203148,0.0,-50.0
52,1707471165.2472284,10.0,0.0
53,1707471198.3814452,0.0,100.0
54,1707471287.6759632,0.0,-200.0
55,1707471298.7400398,-10.0,0.0
56,1707471331.8680081,0.0,100.0
57,1707471388.0207562,0.0,-50.0
58,1707471399.0776494,10.0,0.0
59,1707471432.20386,0.0,100.0
60,1707471521.522289,0.0,-200.0
61,1707471532.5840816,-10.0,0.0
62,1707471565.6979449,0.0,100.0
63,1707471621.8580172,0.0,-50.0
64,1707471632.9047017,10.0,0.0
65,1707471654.981053,0.0,50.0
66,1707471711.1288338,0.0,-50.0
67,1707471722.193914,10.0,0.0
68,1707471744.2607539,0.0,50.0
69,1707471822.5360944,0.0,-150.0
70,1707471833.5786226,-10.0,0.0
71,1707471866.7237797,0.0,100.0
72,1707471922.8656008,0.0,-50.0
73,1707471933.9145966,10.0,0.0
74,1707471955.9869754,0.0,50.0
75,1707472034.2280536,0.0,-150.0
76,1707472045.2776926,10.0,0.0
77,1707472089.471749,0.0,150.0
78,1707472178.7892416,0.0,-200.0
79,1707472189.8446116,-10.0,0.0
80,1707472234.0400207,0.0,150.0
81,1707472323.3464224,0.0,-200.0
82,1707472334.3956873,-10.0,0.0
83,1707472367.5162334,0.0,100.0
84,1707472423.6462154,0.0,-50.0
85,1707472434.707267,10.0,0.0
86,1707472467.8263905,0.0,100.0
87,1707472557.1241076,0.0,-200.0
88,1707472568.1867964,-10.0,0.0
89,1707472601.3147457,0.0,100.0
90,1707472657.46794,0.0,-50.0
91,1707472668.5305908,10.0,0.0
92,1707472701.6586912,0.0,100.0
93,1707472790.9758005,0.0,-200.0
94,1707472802.0311444,-10.0,0.0
95,1707472835.1645575,0.0,100.0
96,1707472891.313297,0.0,-50.0
97,1707472902.3696163,10.0,0.0
98,1707472924.444114,0.0,50.0
99,1707473002.6811874,0.0,-150.0
100,1707473013.7478473,10.0,0.0
101,1707473057.9289777,0.0,150.0
102,1707473147.2121003,0.0,-200.0
103,1707473158.2678587,-10.0,0.0
104,1707473202.4176958,0.0,150.0
105,1707473291.7105331,0.0,-200.0
106,1707473302.775211,-10.0,0.0
107,1707473346.9548867,0.0,150.0
108,1707473436.262403,0.0,-200.0
109,1707473447.3235283,-10.0,0.0
110,1707473491.515654,0.0,150.0
111,1707473580.8310587,0.0,-200.0
112,1707473591.8919563,-10.0,0.0
113,1707473636.067384,0.0,150.0
114,1707473745.325803,0.0,-200.0
115,1707473756.371952,10.0,0.0
116,1707473800.5561383,0.0,150.0
117,1707473900.9608037,0.0,-250.0
118,1707473912.0237405,-10.0,0.0
119,1707473934.0905156,0.0,50.0
120,1707473990.2517338,0.0,-50.0
121,1707474001.3116918,-10.0,0.0
122,1707474023.3850677,0.0,50.0
123,1707474079.531945,0.0,-50.0
124,1707474090.5881689,-10.0,0.0
125,1707474112.6496892,0.0,50.0
126,1707474179.842902,0.0,-100.0
127,1707474190.9028525,-10.0,0.0
128,1707474212.9817328,0.0,50.0
129,1707474280.182695,0.0,-100.0
130,1707474291.2452571,-10.0,0.0
131,1707474324.3539743,0.0,100.0
132,1707474402.5897934,0.0,-150.0
133,1707474413.6474588,-10.0,0.0
134,1707474568.446628,0.0,650.0
135,1707474613.568033,0.0,0.0
136,1707474624.6292064,-10.0,0.0
137,1707474646.7015133,0.0,50.0
138,1707474702.8766809,0.0,-50.0
139,1707474713.9469185,-10.0,0.0
140,1707474736.0118845,0.0,50.0
141,1707474792.1959734,0.0,-50.0
142,1707474803.2502112,-10.0,0.0
143,1707474825.3339264,0.0,50.0
144,1707474870.4426496,0.0,0.0
145,1707474881.497731,-10.0,0.0
146,1707474903.5831692,0.0,50.0
147,1707474959.74817,0.0,-50.0
148,1707474970.7986996,-10.0,0.0
149,1707474992.8784034,0.0,50.0
150,1707475049.0446346,0.0,-50.0
