,time,min,avg,max,norm_factor
0,1707485734.0610857,0.613,0.80259,0.839,0.6911700000000001
1,1707485823.353323,0.68,0.79746,0.839,0.68187
2,1707485890.5391655,0.405,0.60661,0.695,0.68187
3,1707486024.0664902,0.458,0.62953,0.728,0.68187
4,1707486157.5663493,0.637,0.80621,0.839,0.69087
5,1707486257.9041245,0.453,0.62802,0.728,0.68187
6,1707486391.4414237,0.617,0.8038,0.839,0.69057
7,1707486491.7830079,0.453,0.63314,0.733,0.68187
8,1707486625.2816463,0.608,0.80169,0.839,0.69087
9,1707486725.6129768,0.463,0.63797,0.728,0.68187
10,1707486859.12846,0.593,0.79927,0.839,0.6911700000000001
11,1707486948.5113485,0.675,0.79385,0.839,0.68187
12,1707487082.0064535,0.444,0.61294,0.695,0.69177
13,1707487226.567509,0.473,0.64159,0.728,0.68187
14,1707487360.1079962,0.646,0.8044,0.839,0.6911700000000001
15,1707487460.4483562,0.453,0.63616,0.733,0.68187
16,1707487593.9625142,0.637,0.80199,0.839,0.69087
17,1707487694.3154893,0.439,0.625,0.728,0.68187
18,1707487827.8422346,0.622,0.8047,0.839,0.69147
19,1707487928.1933634,0.415,0.63736,0.733,0.68187
20,1707488061.7503204,0.613,0.80259,0.839,0.69087
21,1707488162.0819016,0.376,0.63435,0.733,0.68187
22,1707488295.6180494,0.603,0.80199,0.839,0.6911700000000001
23,1707488384.940595,0.666,0.79294,0.844,0.68187
24,1707488614.7006073,0.391,0.61053,0.699,0.6911700000000001
25,1707488759.303284,0.386,0.62561,0.738,0.68187
26,1707488903.8691292,0.338,0.61927,0.733,0.69026
27,1707489048.4341753,0.371,0.625,0.728,0.68187
28,1707489170.8770034,0.642,0.80561,0.839,0.69026
29,1707489260.1959999,0.367,0.63194,0.733,0.68187
30,1707489393.7077303,0.391,0.67174,0.772,0.6884600000000001
31,1707489538.276822,0.41,0.65244,0.791,0.68604
32,1707489682.8451188,0.371,0.69616,0.82,0.68243
33,1707489827.4051485,0.42,0.66993,0.791,0.68966
34,1707489960.9754171,0.371,0.69556,0.825,0.6851400000000001
35,1707490105.57667,0.463,0.67445,0.796,0.68423
36,1707490250.218664,0.386,0.69887,0.83,0.68187
37,1707490394.7624722,0.434,0.67566,0.801,0.69087
38,1707490539.319373,0.396,0.68983,0.83,0.68187
39,1707490661.7686853,0.434,0.67174,0.801,0.68484
40,1707490795.4322224,0.4,0.66842,0.83,0.68187
41,1707490940.0666895,0.439,0.65817,0.806,0.69147
42,1707491084.6110904,0.386,0.65726,0.835,0.68187
43,1707491229.199687,0.439,0.65907,0.81,0.69147
44,1707491362.7241173,0.371,0.66661,0.835,0.68187
45,1707491507.2996325,0.449,0.66601,0.806,0.69026
46,1707491651.8702435,0.362,0.65907,0.82,0.68187
47,1707491796.4711072,0.439,0.66058,0.796,0.69177
48,1707491918.9013968,0.362,0.67897,0.801,0.68187
49,1707492052.3883564,0.381,0.70189,0.83,0.69177
50,1707492185.9227226,0.661,0.82098,0.854,0.68187
51,1707492286.2899516,0.42,0.66782,0.772,0.6911700000000001
52,1707492419.812973,0.608,0.81917,0.849,0.68187
53,1707492520.2019942,0.42,0.66148,0.772,0.69026
54,1707492642.6822405,0.671,0.8246,0.859,0.68187
55,1707492743.053688,0.627,0.80862,0.844,0.69087
56,1707492821.2824678,0.68,0.82098,0.854,0.68187
57,1707492899.5107172,0.55,0.79415,0.835,0.6878500000000001
58,1707493022.351567,0.671,0.80741,0.839,0.68187
59,1707493122.781171,0.342,0.62138,0.728,0.68187
60,1707493256.308806,0.651,0.80319,0.835,0.6884600000000001
61,1707493356.6634338,0.333,0.6238,0.733,0.68187
62,1707493490.1747599,0.646,0.80138,0.839,0.69057
63,1707493590.5125926,0.367,0.61264,0.733,0.68187
64,1707493724.0335417,0.637,0.80078,0.839,0.68966
65,1707493824.397355,0.415,0.62983,0.733,0.68187
66,1707493957.953791,0.637,0.79988,0.839,0.69057
67,1707494047.25449,0.444,0.62802,0.733,0.68187
68,1707494169.6914234,0.661,0.805,0.844,0.69057
69,1707494270.0447216,0.478,0.63194,0.738,0.68187
70,1707494403.576382,0.651,0.805,0.835,0.6893600000000001
71,1707494503.930945,0.482,0.63917,0.743,0.68187
72,1707494637.461104,0.651,0.8047,0.839,0.68966
73,1707494737.8117185,0.492,0.63797,0.743,0.68187
74,1707494871.3380945,0.646,0.80319,0.835,0.68966
75,1707494971.6947675,0.507,0.63676,0.733,0.68187
76,1707495105.182581,0.646,0.80319,0.839,0.69026
77,1707495206.1171637,0.507,0.6446,0.738,0.68187
78,1707495340.8336167,0.642,0.80229,0.839,0.69057
79,1707495441.5027835,0.507,0.64098,0.733,0.68187
80,1707495575.0017679,0.642,0.80169,0.839,0.69026
81,1707495675.324377,0.502,0.64973,0.724,0.68187
82,1707495809.237174,0.642,0.80018,0.839,0.68996
83,1707495910.6544023,0.473,0.63586,0.724,0.68187
84,1707496045.4408271,0.642,0.80229,0.835,0.68996
85,1707496146.431741,0.458,0.6449,0.728,0.68187
86,1707496281.1397674,0.646,0.80319,0.839,0.69026
87,1707496382.740732,0.449,0.64038,0.733,0.68187
88,1707496516.4828253,0.646,0.80289,0.835,0.6893600000000001
89,1707496617.0393019,0.439,0.63797,0.733,0.68187
90,1707496751.6828084,0.675,0.8038,0.835,0.68966
91,1707496853.245103,0.434,0.63254,0.733,0.68187
92,1707496998.4517527,0.362,0.63405,0.724,0.68906
93,1707497144.7028863,0.4,0.64189,0.748,0.68187
94,1707497268.5703187,0.68,0.80078,0.835,0.6863400000000001
95,1707497336.4548986,0.42,0.66239,0.753,0.68187
96,1707497469.9876587,0.391,0.6648,0.762,0.68187
97,1707497615.9036005,0.473,0.67385,0.791,0.6869500000000001
98,1707497739.4339554,0.41,0.69435,0.825,0.68187
99,1707497874.5404434,0.415,0.67656,0.801,0.68996
100,1707498021.0798442,0.424,0.69525,0.83,0.68187
101,1707498155.1028328,0.405,0.67385,0.801,0.68454
102,1707498299.6365483,0.396,0.67234,0.835,0.68187
103,1707498444.2009017,0.42,0.65696,0.806,0.6893600000000001
104,1707498566.6746726,0.381,0.66842,0.835,0.68187
105,1707498700.2219188,0.42,0.65937,0.81,0.6893600000000001
106,1707498844.8428307,0.371,0.67264,0.82,0.68187
107,1707498978.342002,0.424,0.65244,0.801,0.68725
108,1707499122.8952472,0.381,0.67867,0.801,0.68187
109,1707499267.465742,0.381,0.70279,0.825,0.6884600000000001
110,1707499400.9825234,0.68,0.82038,0.854,0.68187
111,1707499501.321081,0.405,0.6651,0.772,0.68876
112,1707499612.7157679,0.661,0.82159,0.854,0.68187
113,1707499713.0545008,0.405,0.65666,0.767,0.68906
114,1707499824.4480689,0.646,0.82189,0.854,0.68187
115,1707499924.8074317,0.569,0.80018,0.839,0.68815
116,1707500003.0747147,0.675,0.81857,0.849,0.68187
117,1707500092.3894033,0.671,0.80953,0.844,0.68755
118,1707500192.749682,0.381,0.644,0.757,0.68187
119,1707500326.2834573,0.671,0.81043,0.844,0.6851400000000001
120,1707500415.806499,0.68,0.80561,0.839,0.68187
121,1707500494.0843234,0.405,0.61566,0.733,0.68187
122,1707500638.5984993,0.381,0.63586,0.757,0.68187
123,1707500761.0865765,0.584,0.8041,0.839,0.68187
124,1707500850.3832154,0.42,0.63706,0.762,0.68187
125,1707500972.857476,0.632,0.80922,0.839,0.6827300000000001
126,1707501062.1428413,0.642,0.79958,0.835,0.68187
127,1707501151.4637399,0.444,0.63706,0.738,0.68187
128,1707501273.9404645,0.671,0.805,0.835,0.68454
129,1707501374.2892854,0.458,0.644,0.743,0.68187
130,1707501518.8499558,0.424,0.65033,0.748,0.68454
131,1707501641.2935848,0.386,0.65365,0.757,0.68187
132,1707501763.791681,0.646,0.81073,0.844,0.68187
133,1707501853.1101804,0.603,0.80832,0.844,0.68333
134,1707501942.4006937,0.589,0.78721,0.835,0.68303
135,1707502075.9176831,0.502,0.63947,0.743,0.6821200000000001
136,1707502220.5227036,0.41,0.64189,0.738,0.68393
137,1707502342.9946883,0.589,0.8041,0.844,0.68187
138,1707502432.3274114,0.429,0.64128,0.728,0.68187
139,1707502554.7890158,0.642,0.81224,0.844,0.68187
140,1707502644.0635269,0.637,0.79746,0.835,0.6836300000000001
141,1707502733.3635578,0.473,0.64159,0.719,0.68187
142,1707502867.0959969,0.41,0.6443,0.724,0.68725
143,1707503012.6494467,0.386,0.65636,0.748,0.68187
