,time,min,avg,max,norm_factor
0,1710762260.5859969,0.432,0.6793,0.753,0.5924
1,1710762431.631375,0.44,0.68307,0.753,0.6067800000000001
2,1710763423.9713843,0.44,0.66661,0.71,0.60402
3,1710763558.526614,0.44,0.66581,0.71,0.5805
4,1710763680.9059825,0.443,0.66661,0.71,0.5805
5,1710763803.334818,0.447,0.67063,0.717,0.5805
6,1710763925.747489,0.443,0.67365,0.717,0.5805
7,1710764060.3180187,0.443,0.67184,0.713,0.58108
8,1710764182.6977422,0.443,0.67043,0.713,0.5805
9,1710764305.1105323,0.443,0.66903,0.71,0.5805
10,1710764427.4894888,0.443,0.67043,0.713,0.5805
11,1710764549.8524525,0.45,0.67063,0.713,0.5805
12,1710764672.2317705,0.447,0.67124,0.713,0.5805
13,1710764794.611381,0.45,0.67325,0.717,0.5805
14,1710764916.990584,0.453,0.67425,0.717,0.58108
15,1710765051.5613828,0.447,0.67063,0.713,0.58169
16,1710765173.9573998,0.443,0.66963,0.71,0.5805
17,1710765296.336584,0.447,0.67043,0.713,0.5805
18,1710765418.7321415,0.447,0.67083,0.713,0.5805
19,1710765601.8862586,0.45,0.67244,0.713,0.5969599999999999
20,1710765724.298809,0.45,0.67566,0.717,0.5805
21,1710765846.7113862,0.45,0.67445,0.713,0.58189
22,1710765981.282393,0.447,0.67104,0.71,0.58108
23,1710766103.6940968,0.45,0.67083,0.71,0.5805
24,1710766226.1074033,0.447,0.67244,0.71,0.5805
25,1710766360.6780615,0.447,0.66923,0.713,0.5805
26,1710766483.0583026,0.447,0.67284,0.713,0.5805
27,1710766617.6113856,0.447,0.67224,0.71,0.5805
28,1710766740.0092862,0.447,0.67184,0.71,0.5805
29,1710766862.3873975,0.45,0.67184,0.713,0.5805
30,1710766996.9248545,0.447,0.66943,0.71,0.5805
31,1710767119.3037257,0.443,0.66943,0.71,0.5805
32,1710767253.8582246,0.447,0.67063,0.713,0.5805
33,1710767376.27135,0.447,0.67305,0.71,0.5805
34,1710767510.8247254,0.447,0.67083,0.707,0.5808800000000001
35,1710767633.2541814,0.45,0.67104,0.71,0.5805
36,1710767767.8088348,0.45,0.67325,0.713,0.5805
37,1710767923.3852694,0.45,0.67365,0.713,0.58148
38,1710768057.9074845,0.45,0.67264,0.713,0.58148
39,1710768180.3020961,0.453,0.67586,0.72,0.58148
40,1710768314.8566773,0.453,0.67526,0.72,0.58571
41,1710768437.2688088,0.456,0.67606,0.723,0.5834900000000001
42,1710768571.806289,0.456,0.67425,0.723,0.5847
43,1710768706.344402,0.45,0.67305,0.717,0.5828899999999999
44,1710768828.723776,0.453,0.67325,0.72,0.5808800000000001
45,1710768963.2443826,0.45,0.67365,0.72,0.58189
46,1710769097.7989218,0.453,0.67546,0.723,0.5830900000000001
47,1710769220.7715979,0.456,0.67686,0.723,0.5843
48,1710769356.0289433,0.456,0.67445,0.72,0.5867100000000001
49,1710769491.781142,0.456,0.67325,0.72,0.5839000000000001
50,1710769614.6341596,0.453,0.67445,0.72,0.58148
51,1710769749.880353,0.45,0.67264,0.72,0.5826899999999999
52,1710769884.845456,0.45,0.67485,0.723,0.5828899999999999
53,1710770019.8113708,0.45,0.67506,0.72,0.5841000000000001
54,1710770142.6595469,0.456,0.67646,0.723,0.5843
55,1710770277.9399996,0.453,0.67485,0.72,0.5859099999999999
56,1710770413.233825,0.45,0.67264,0.72,0.5832900000000001
57,1710770548.4631689,0.447,0.67365,0.72,0.5805
58,1710770683.7361176,0.45,0.67586,0.723,0.58209
59,1710770818.6158419,0.456,0.67566,0.723,0.5847
60,1710770953.719577,0.453,0.67465,0.72,0.5837000000000001
61,1710771088.616277,0.453,0.67365,0.72,0.5826899999999999
62,1710771210.9958422,0.456,0.67566,0.723,0.5805
63,1710771421.8500338,0.456,0.67807,0.73,0.5805
64,1710771568.8113384,0.459,0.68028,0.733,0.5891200000000001
65,1710771703.6056178,0.463,0.68249,0.736,0.59093
66,1710771924.0849905,0.456,0.66681,0.73,0.5979700000000001
67,1710772096.0951247,0.475,0.67707,0.713,0.59395
68,1710772255.4426088,0.459,0.6837,0.739,0.58148
69,1710772426.455317,0.443,0.67405,0.742,0.5951500000000001
70,1710772585.3074694,0.466,0.68852,0.713,0.6027899999999999
71,1710772744.1450276,0.45,0.67767,0.736,0.5913299999999999
72,1710772866.5574713,0.463,0.68048,0.707,0.5847
73,1710772988.937638,0.44,0.69536,0.73,0.5921400000000001
74,1710773136.0841744,0.466,0.69053,0.733,0.59676
75,1710773270.8015842,0.466,0.69696,0.758,0.59676
76,1710773393.3985584,0.43,0.69053,0.736,0.59917
77,1710773600.8665507,0.453,0.67184,0.71,0.6158600000000001
78,1710773711.104509,0.475,0.68892,0.73,0.58148
79,1710773857.7715461,0.36,0.67747,0.73,0.5913299999999999
80,1710774077.4440913,0.418,0.67707,0.733,0.6156600000000001
81,1710774199.8231974,0.623,0.72792,0.765,0.6249
82,1710774334.3936558,0.463,0.7048,0.749,0.6122399999999999
83,1710774468.9643896,0.45,0.70903,0.758,0.6238999999999999
84,1710774591.3611665,0.469,0.71566,0.771,0.6204799999999999
85,1710774725.8980813,0.44,0.72068,0.762,0.6261099999999999
86,1710774848.2770357,0.479,0.7239,0.771,0.6335500000000001
